Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income,Monthly_Payments,LoanAmount_Log,Applicant_Income_Log,Total_Income_Log,Prediction,probability of denial,probability of acceptance
LP001015,1,1,0,1,0,5720,0,110,360,1,2,5720,-1.1856236656577395,4.700480365792417,8.651724084373843,8.651724084373843,1,0.18162788509659722,0.8183721149034028
LP001022,1,1,1,1,0,3076,1500,126,360,1,2,4576,-1.0498221244986778,4.836281906951478,8.031385330625534,8.428580533059634,1,0.13419302514583598,0.865806974854164
LP001031,1,1,2,1,0,5000,1800,208,360,1,2,6800,-0.5485659517488378,5.337538079701318,8.517193191416238,8.824677891164198,1,0.11260208344575529,0.8873979165542447
LP001035,1,1,2,1,0,2340,2546,100,360,0,2,4886,-1.2809338454620642,4.605170185988092,7.757906208351747,8.494129251817686,1,0.3763801437727541,0.6236198562272459
LP001051,1,0,0,0,0,3276,0,78,360,1,2,3276,-1.529395204760564,4.356708826689592,8.09437844497296,8.09437844497296,1,0.27806016498775743,0.7219398350122426
LP001054,1,1,0,0,1,2165,3422,152,360,1,2,5587,-0.8622235106038793,5.0238805208462765,7.68017564043659,8.628197749459149,1,0.2350018609079919,0.7649981390920081
LP001055,0,0,1,0,0,2226,0,59,360,1,1,2226,-1.8085665875444363,4.07753744390572,7.70796153183549,7.70796153183549,1,0.21986579274676976,0.7801342072532302
LP001056,1,1,2,0,0,3881,0,147,360,0,0,3881,-0.8956714446714193,4.990432586778736,8.263848131368906,8.263848131368906,0,0.5229184595842211,0.4770815404157788
LP001059,1,1,2,1,0,13633,0,280,240,1,2,13633,0.15415067982725836,5.634789603169249,9.520248603186129,9.520248603186129,1,0.13769020695428968,0.8623097930457103
LP001067,1,0,0,0,0,2400,2400,123,360,1,1,4800,-1.073919676077738,4.812184355372417,7.783224016336037,8.476371196895983,1,0.3281627596989244,0.6718372403010756
LP001078,1,0,0,0,0,3091,0,90,360,1,2,3091,-1.3862943611198906,4.499809670330265,8.036249942132116,8.036249942132116,1,0.2840225459738802,0.7159774540261198
LP001082,1,1,1,1,0,2185,1516,162,360,1,1,3701,-0.7985076962177716,5.087596335232384,7.68937110752969,8.216358332386156,1,0.15126013911376135,0.8487398608862387
LP001083,1,0,3,1,0,4166,0,40,180,0,2,4166,-1.5040773967762742,3.6888794541139363,8.334711621820917,8.334711621820917,1,0.3796331727662663,0.6203668272337337
LP001094,1,1,2,1,0,12173,0,166,360,0,1,12173,-0.7741162430936124,5.111987788356544,9.406975663409597,9.406975663409597,1,0.46751027260217737,0.5324897273978226
LP001096,0,0,0,1,0,4666,0,124,360,1,1,4666,-1.0658224658451187,4.820281565605037,8.448057452581375,8.448057452581375,1,0.2835240283491136,0.7164759716508864
LP001099,1,0,1,1,0,5667,0,131,360,1,2,5667,-1.0109067082490042,4.875197323201151,8.64241515616962,8.64241515616962,1,0.1993898631152552,0.8006101368847448
LP001105,1,1,2,1,0,4583,2916,200,360,1,2,7499,-0.587786664902119,5.298317366548036,8.430109084509125,8.92252495730139,1,0.11334415555467259,0.8866558444453274
LP001107,1,1,3,1,0,3786,333,126,360,1,1,4119,-1.0498221244986778,4.836281906951478,8.239065331769268,8.323365694436081,1,0.08001732808965567,0.9199826719103443
LP001108,1,1,0,1,0,9226,7916,300,360,1,2,17142,-0.1823215567939546,5.703782474656201,9.129780864117766,9.749286871458828,1,0.2512607509642646,0.7487392490357354
LP001115,1,0,0,1,0,1300,3470,100,180,1,1,4770,-0.587786664902119,4.605170185988092,7.170119543449628,8.470101583882387,1,0.28668117663892845,0.7133188233610716
LP001121,1,1,1,0,0,1888,1620,48,360,1,2,3508,-2.0149030205422647,3.871201010907891,7.543273346705446,8.162801353492073,1,0.13112450440491918,0.8688754955950808
LP001124,0,0,3,0,0,2083,0,28,180,1,2,2083,-1.8607523407150064,3.332204510175204,7.641564441260972,7.641564441260972,1,0.10457745900511817,0.8954225409948818
LP001128,1,0,0,1,0,3909,0,101,360,1,2,3909,-1.2709835146088961,4.61512051684126,8.271036865792954,8.271036865792954,1,0.24350996605599007,0.7564900339440099
LP001135,0,0,0,0,0,3765,0,125,360,1,2,3765,-1.0577902941478545,4.8283137373023015,8.233503140233994,8.233503140233994,1,0.30730747071107234,0.6926925292889277
LP001149,1,1,0,1,0,5400,4380,290,360,1,2,9780,-0.21622310846963594,5.66988092298052,8.594154232552366,9.188094763028863,1,0.22196768489058716,0.7780323151094128
LP001153,1,0,0,1,0,0,24000,148,360,0,0,24000,-0.8888917576860407,4.997212273764115,0.0,10.085809109330082,0,0.6450727710069494,0.3549272289930506
LP001163,1,1,2,1,0,4363,1250,140,360,0,2,5613,-0.9444616088408514,4.941642422609304,8.38091517312361,8.6328406149422,1,0.40384823599167474,0.5961517640083253
LP001169,1,1,0,1,0,7500,3750,275,360,1,2,11250,-0.26933293378358447,5.616771097666572,8.922658299524402,9.328123407632566,1,0.22598274430936238,0.7740172556906376
LP001174,1,1,0,1,0,3772,833,57,360,0,1,4605,-1.8430527636156055,4.04305126783455,8.235360643753348,8.434897948689407,0,0.5502608995459725,0.44973910045402754
LP001176,1,0,0,1,0,2942,2382,125,180,1,2,5324,-0.3646431135879093,4.8283137373023015,7.9868449011613825,8.579980179515003,1,0.2853700528352566,0.7146299471647434
LP001177,0,0,0,0,0,2478,0,75,360,1,1,2478,-1.5686159179138452,4.31748811353631,7.815207062189088,7.815207062189088,1,0.3005280225359268,0.6994719774640732
LP001183,1,1,2,1,0,6250,820,192,360,1,2,7070,-0.6286086594223742,5.2574953720277815,8.740336742730447,8.863615758890619,1,0.11186991936638835,0.8881300806336117
LP001185,1,0,0,1,0,3268,1683,152,360,1,1,4951,-0.8622235106038793,5.0238805208462765,8.091933455979893,8.507344855361422,1,0.28674049774583044,0.7132595022541696
LP001187,1,1,0,1,0,2783,2708,158,360,1,2,5491,-0.8235089984231889,5.062595033026967,7.931284761525891,8.610865667278873,1,0.18911906528699374,0.8108809347130063
LP001190,1,1,0,1,0,2740,1541,101,360,1,2,4281,-1.2709835146088961,4.61512051684126,7.9157131993821155,8.361941906144946,1,0.17175812078684627,0.8282418792131537
LP001203,1,0,0,1,0,3150,0,176,360,0,1,3150,-0.7156200364120039,5.170483995038151,8.055157731819678,8.055157731819678,0,0.7020322930387354,0.2979677069612646
LP001208,1,1,2,1,0,7350,4029,185,180,1,2,11379,0.027398974188114347,5.220355825078324,8.902455592206882,9.339524830357009,1,0.13825568879430694,0.8617443112056931
LP001210,1,1,0,1,1,2267,2792,90,360,1,2,5059,-1.3862943611198906,4.499809670330265,7.726212650507529,8.528924114291936,1,0.17378627799304036,0.8262137220069596
LP001211,1,0,0,1,1,5833,0,116,360,1,2,5833,-1.1325138403437909,4.7535901911063645,8.671286726753637,8.671286726753637,1,0.26449496861852906,0.7355050313814709
LP001219,1,0,0,1,0,3643,1963,138,360,1,2,5606,-0.958850346292951,4.927253685157205,8.200562797008564,8.631592731724734,1,0.26161358662487344,0.7383864133751266
LP001220,1,1,0,1,0,5629,818,100,360,1,2,6447,-1.2809338454620642,4.605170185988092,8.635687085464026,8.77137018531062,1,0.18058523555385775,0.8194147644461423
LP001221,0,0,0,1,0,3644,0,110,360,1,2,3644,-1.1856236656577395,4.700480365792417,8.200837258379849,8.200837258379849,1,0.24948608802819405,0.750513911971806
LP001226,1,1,0,0,0,1750,2024,90,360,1,1,3774,-1.3862943611198906,4.499809670330265,7.4673710669175595,8.235890725928495,1,0.2215348560867847,0.7784651439132153
LP001230,1,0,0,1,0,6500,2600,200,360,1,1,9100,-0.587786664902119,5.298317366548036,8.779557455883728,9.116029692504942,1,0.31763006114959635,0.6823699388504036
LP001231,0,0,0,1,0,3666,0,84,360,1,2,3666,-1.455287232606842,4.430816798843313,8.20685642839965,8.20685642839965,1,0.2379765572524809,0.7620234427475191
LP001232,1,1,0,1,0,4260,3900,185,360,0,2,8160,-0.665748206371831,5.220355825078324,8.357024439263416,9.006999447958153,0,0.6029793720648533,0.39702062793514664
LP001237,1,1,0,0,0,4163,1475,162,360,1,2,5638,-0.7985076962177716,5.087596335232384,8.333991247194975,8.637284671674058,1,0.23621308576332134,0.7637869142366787
LP001242,1,0,0,0,0,2356,1902,108,360,1,1,4258,-1.2039728043259361,4.68213122712422,7.764720544771477,8.356554845453426,1,0.31955537360450437,0.6804446263954956
